advertiser_id_from_network,campaign_id_from_network,affiliate_id_from_network
rr_3887680917,a0A6840,InvocaYelp_444490000030275
rr_3887680917,a0A6822,InvocaYelp_444490000030275
rr_3887680917,a0A6731,InvocaYelp_444490000030275
rr_3887680917,a0A6875,InvocaYelp_444490000030275
rr_3887680917,a0A6861,InvocaYelp_444490000030275
rr_3887680917,a0A6878,InvocaYelp_444490000030275
rr_3887680917,a0A6891,InvocaYelp_444490000030275
rr_3887680917,a0A6814,InvocaYelp_444490000030275
rr_3887680917,a0A6990,InvocaYelp_444490000030275
rr_3887680917,a0A6811,InvocaYelp_444490000030275
rr_3887680917,a0A6810,InvocaYelp_444490000030275
rr_3887680917,a0A6306,InvocaYelp_444490000030275
rr_3887680917,a0A6759,InvocaYelp_444490000030275
rr_3887680917,a0A6432,InvocaYelp_444490000030275
rr_3887680917,a0A6823,InvocaYelp_444490000030275
rr_3887680917,a0A6838,InvocaYelp_444490000030275
rr_3887680917,a0A6888,InvocaYelp_444490000030275
rr_3887680917,a0A6895,InvocaYelp_444490000030275
rr_3887680917,a0A6611,InvocaYelp_444490000030275
rr_3887680917,a0A7091,InvocaYelp_444490000030275
rr_3887680917,a0A6740,InvocaYelp_444490000030275
rr_3887680917,a0A6650,InvocaYelp_444490000030275
rr_3887680917,a0A6940,InvocaYelp_444490000030275
rr_3887680917,a0A7104,InvocaYelp_444490000030275
rr_3887680917,a0A7417,InvocaYelp_444490000030275
rr_3887680917,a0A6866,InvocaYelp_444490000030275
rr_3887680917,a0A7054,InvocaYelp_444490000030275
rr_3887680917,a0A6987,InvocaYelp_444490000030275
rr_3887680917,a0A6932,InvocaYelp_444490000030275
rr_3887680917,a0A6929,InvocaYelp_444490000030275
rr_3887680917,a0A6750,InvocaYelp_444490000030275
rr_3887680917,a0A7064,InvocaYelp_444490000030275
rr_3887680917,a0A7374,InvocaYelp_444490000030275
rr_3887680917,a0A6466,InvocaYelp_444490000030275
rr_3887680917,a0A6935,InvocaYelp_444490000030275
rr_3887680917,a0A6717,InvocaYelp_444490000030275
rr_3887680917,a0A6828,InvocaYelp_444490000030275
rr_3887680917,a0A7084,InvocaYelp_444490000030275
rr_3887680917,a0A7371,InvocaYelp_444490000030275
rr_3887680917,a0A4990,InvocaYelp_444490000030275
rr_3887680917,a0A7440,InvocaYelp_444490000030275
rr_3887680917,a0A6745,InvocaYelp_444490000030275
rr_3887680917,a0A6657,InvocaYelp_444490000030275
rr_3887680917,a0A7079,InvocaYelp_444490000030275
rr_3887680917,a0A6834,InvocaYelp_444490000030275
rr_3887680917,a0A6904,InvocaYelp_444490000030275
rr_3887680917,a0A6468,InvocaYelp_444490000030275
rr_3887680917,a0A7007,InvocaYelp_444490000030275
rr_3887680917,a0A6903,InvocaYelp_444490000030275
rr_3887680917,a0A6832,InvocaYelp_444490000030275
rr_3887680917,a0A6353,InvocaYelp_444490000030275
rr_3887680917,a0A6896,InvocaYelp_444490000030275
rr_3887680917,a0A6944,InvocaYelp_444490000030275
rr_3887680917,a0A6648,InvocaYelp_444490000030275
rr_3887680917,a0A6967,InvocaYelp_444490000030275
rr_3887680917,a0A6336,InvocaYelp_444490000030275
rr_3887680917,a0A7032,InvocaYelp_444490000030275
rr_3887680917,a0A7046,InvocaYelp_444490000030275
rr_3887680917,a0A6948,InvocaYelp_444490000030275
rr_3887680917,a0A7139,InvocaYelp_444490000030275
rr_3887680917,a0A7018,InvocaYelp_444490000030275
rr_3887680917,a0A6845,InvocaYelp_444490000030275
rr_3887680917,a0A7036,InvocaYelp_444490000030275
rr_3887680917,a0A7058,InvocaYelp_444490000030275
rr_3887680917,a0A6835,InvocaYelp_444490000030275
rr_3887680917,a0A7416,InvocaYelp_444490000030275
rr_3887680917,a0A6892,InvocaYelp_444490000030275
rr_3887680917,a0A6884,InvocaYelp_444490000030275
rr_3887680917,a0A7040,InvocaYelp_444490000030275
rr_3887680917,a0A7045,InvocaYelp_444490000030275
rr_3887680917,a0A6774,InvocaYelp_444490000030275
rr_3887680917,a0A6916,InvocaYelp_444490000030275
rr_3887680917,a0A6649,InvocaYelp_444490000030275
rr_3887680917,a0A6571,InvocaYelp_444490000030275
rr_3887680917,a0A7034,InvocaYelp_444490000030275
rr_3887680917,a0A6430,InvocaYelp_444490000030275
rr_3887680917,a0A7067,InvocaYelp_444490000030275
rr_3887680917,a0A6646,InvocaYelp_444490000030275
rr_3887680917,a0A6833,InvocaYelp_444490000030275
rr_3887680917,a0A6837,InvocaYelp_444490000030275
rr_3887680917,a0A7418,InvocaYelp_444490000030275
rr_3887680917,a0A7043,InvocaYelp_444490000030275
rr_3887680917,a0A6391,InvocaYelp_444490000030275
rr_3887680917,a0A6760,InvocaYelp_444490000030275
rr_3887680917,a0A6989,InvocaYelp_444490000030275
rr_3887680917,a0A7000,InvocaYelp_444490000030275
rr_3887680917,a0A7351,InvocaYelp_444490000030275
rr_3887680917,a0A6465,InvocaYelp_444490000030275
rr_3887680917,a0A7069,InvocaYelp_444490000030275
rr_3887680917,a0A6463,InvocaYelp_444490000030275
rr_3887680917,a0A6642,InvocaYelp_444490000030275
rr_3887680917,a0A6672,InvocaYelp_444490000030275
rr_3887680917,a0A7081,InvocaYelp_444490000030275
rr_3887680917,a0A6779,InvocaYelp_444490000030275
rr_3887680917,a0A7340,InvocaYelp_444490000030275
rr_3887680917,a0A6794,InvocaYelp_444490000030275
rr_3887680917,a0A6914,InvocaYelp_444490000030275
rr_3887680917,a0A6739,InvocaYelp_444490000030275
rr_3887680917,a0A6993,InvocaYelp_444490000030275
rr_3887680917,a0A6711,InvocaYelp_444490000030275
rr_3887680917,a0A6656,InvocaYelp_444490000030275
rr_3887680917,a0A6954,InvocaYelp_444490000030275
rr_3887680917,a0A6831,InvocaYelp_444490000030275
rr_3887680917,a0A6996,InvocaYelp_444490000030275
rr_3887680917,a0A6864,InvocaYelp_444490000030275
rr_3887680917,a0A6467,InvocaYelp_444490000030275
rr_3887680917,a0A6441,InvocaYelp_444490000030275
rr_3887680917,a0A6931,InvocaYelp_444490000030275
rr_3887680917,a0A6429,InvocaYelp_444490000030275
rr_3887680917,a0A6938,InvocaYelp_444490000030275
rr_3887680917,a0A6618,InvocaYelp_444490000030275
rr_3887680917,a0A6698,InvocaYelp_444490000030275
rr_3887680917,a0A6953,InvocaYelp_444490000030275
rr_3887680917,a0A6922,InvocaYelp_444490000030275
rr_3887680917,a0A7442,InvocaYelp_444490000030275
rr_3887680917,a0A6819,InvocaYelp_444490000030275
rr_3887680917,a0A6712,InvocaYelp_444490000030275
rr_3887680917,a0A7017,InvocaYelp_444490000030275
rr_3887680917,a0A7010,InvocaYelp_444490000030275
rr_3887680917,a0A6776,InvocaYelp_444490000030275
rr_3887680917,a0A7022,InvocaYelp_444490000030275
rr_3887680917,a0A6877,InvocaYelp_444490000030275
rr_3887680917,a0A7364,InvocaYelp_444490000030275
rr_3887680917,a0A6570,InvocaYelp_444490000030275
rr_3887680917,a0A7410,InvocaYelp_444490000030275
rr_3887680917,a0A7042,InvocaYelp_444490000030275
rr_3887680917,a0A6972,InvocaYelp_444490000030275
rr_3887680917,a0A6785,InvocaYelp_444490000030275
rr_3887680917,a0A6978,InvocaYelp_444490000030275
rr_3887680917,a0A6689,InvocaYelp_444490000030275
rr_3887680917,a0A7035,InvocaYelp_444490000030275
rr_3887680917,a0A7001,InvocaYelp_444490000030275
rr_3887680917,a0A7004,InvocaYelp_444490000030275
rr_3887680917,a0A6464,InvocaYelp_444490000030275
rr_3887680917,a0A6606,InvocaYelp_444490000030275
rr_3887680917,a0A6747,InvocaYelp_444490000030275
rr_3887680917,a0A6584,InvocaYelp_444490000030275
rr_3887680917,a0A6860,InvocaYelp_444490000030275
rr_3887680917,a0A6663,InvocaYelp_444490000030275
rr_3887680917,a0A6626,InvocaYelp_444490000030275
rr_3887680917,a0A6997,InvocaYelp_444490000030275
rr_3887680917,a0A6628,InvocaYelp_444490000030275
rr_3887680917,a0A6770,InvocaYelp_444490000030275
rr_3887680917,a0A7026,InvocaYelp_444490000030275
rr_3887680917,a0A6644,InvocaYelp_444490000030275
rr_3887680917,a0A6961,InvocaYelp_444490000030275
rr_3887680917,a0A7030,InvocaYelp_444490000030275
rr_3887680917,a0A7443,InvocaYelp_444490000030275
rr_3887680917,a0A7441,InvocaYelp_444490000030275
rr_3887680917,a0A6446,InvocaYelp_444490000030275
rr_3887680917,a0A6917,InvocaYelp_444490000030275
rr_3887680917,a0A6992,InvocaYelp_444490000030275
rr_3887680917,a0A6714,InvocaYelp_444490000030275
rr_3887680917,a0A7097,InvocaYelp_444490000030275
rr_3887680917,a0A7120,InvocaYelp_444490000030275
rr_3887680917,a0A6775,InvocaYelp_444490000030275
rr_3887680917,a0A6751,InvocaYelp_444490000030275
rr_3887680917,a0A6911,InvocaYelp_444490000030275
rr_3887680917,a0A7061,InvocaYelp_444490000030275
rr_3887680917,a0A6890,InvocaYelp_444490000030275
rr_3887680917,a0A7028,InvocaYelp_444490000030275
rr_3887680917,a0A6971,InvocaYelp_444490000030275
rr_3887680917,a0A7134,InvocaYelp_444490000030275
rr_3887680917,a0A6812,InvocaYelp_444490000030275
rr_3887680917,a0A7020,InvocaYelp_444490000030275
